category,description
Rejected,Not recommendable. This submission cannot be recommended and so this is rejected. 
Rejected,"for the job mentioned in the attached letter like web development, domain hosting, etc. local skilled manpower is available "
Rejected,1.  Submitted explanation is not rational and satisfactory.
Rejected,"We observed the following issues in the application form:\
1. Manual registration information has not been provided.\
2. Full set of BIDA registration and subsequent amendments have not been submitted to varify the existing accurate information.\
3. Annual production capacity has been kept unfilled\
4. Public utility services have been kept unfilled.\
5. As per application, the company has one director which is absurd.\
6. In the board resolution it has been shown that shares of Mr. Arbinder singh has been transferred to Mrs. Rabeya Khatun but no instrument in favor of this transfer has been submitted.\
7. RJSC form-VI and XII have not been submitted.\
8. Value of local and imported machinery have not been authenticated by documents.\
\
The applicant did not attach any importance to the matter. He took the matter so lightly that without any information, without any proof, he submitted an application for approval which should not be.\
Considering the facts and circumstances above we are rejecting the application.. However, he may submit further a complete application with all relevant documents."
Rejected,"Please find the observation of Inspection officer. As per his observation following action may taken:\
""Nissho Koeki Tissue Papers Co. Ltd   Nissho Koeki Tissue Papers Co. Ltd. (U-2)-                         """
Rejected,"Please upload the memorandum and director list of Darling Horse (Hong Kong)Co., Limited (properly notarized and translated). Note: Please follow the above observation and resubmit the application properly. If not clear kindly disucss over the the phone"
Rejected,"It is too late, after 10 years. Hence, the application has been rejected. "
Rejected,Please resubmit
Rejected,Please submit 2 job advertisements in national daily newspaper and 1 advertisement in a well-known online job-searching portal
Rejected,Documents support the company is existing but information given as proposed. Submit PI of proposed machinery. Submit NOC for gas generator and boiler.
Rejected,proprietor name is incorrect in Information of (Chairman/ Managing Director/ Or Equivalent). Existing product cannot be added as new. Please submit valid land deed document
Rejected,Please submit BIDA Registration
Rejected,The application has been rejected because you hired the expatriate without completing the recruitment as per the BIDA guideline
Rejected,Attachment not found. There is no option such amendment in OSS system which you want. Rather the company already submit manual amendment proposal.
Rejected,Only list machinery in proposed part that will be changed. Give detail about new proposed machinery. 
Rejected, You did not respond to the previous shortfall as well as 8 years already exceed. Please hire a local employee
Rejected,The application has been rejected due to the user ID not being authorized by the company.
Rejected,The application is rejected for giving false information. The company received online services from BIDA but denied it with malafide intention.
Rejected,"A. Please follow the previous shortfall -{A. Please mention the accommodation, transport, and air ticket facilities in the salary structure (in the application);\
B. Kindly discuss regarding the shortfall of the job advertisement and then resubmit the application"
Rejected,"The application is rejected on the following grounds:\
1. Inserting false information at the basic information.The company received OSS service but denied. It seems to hide something.\
2. Wrong insertion at annual production\
3. Incomplete list of machinery"
Rejected,The application is rejected on grounds of non-compliance. The applicant was requested repeatedly to submit proof of lease against plot no. 5 but failed to submit. Even it was requested to revise the application removing plot no. 5. But nothing has been done. Any plot without having sufficient proof cannot be inserted in the official document. That's why the application is rejected.
Rejected,Submit PI of proposed machinery list
Rejected,the company has already applied for a office permission in OSS
Rejected,"With the uploaded document, Please also upload the previous work permit."
Rejected,Please submit work order/ contract undertaken in Bangladesh
Rejected,        ;          ;               :    
Rejected,There is no land documents in the name of new owner
Rejected,please submit the language proficiency certificate of this expatriate in different languages according to the company's claim 
Rejected,Rejected as the amount of raw material is incorrect
Rejected,"a. Explain the role of each newly added machine to produce the products.\
b. There are some machineries which are not related to the production of the mentioned product. Please remove these.\
c. The factory can be inspected physically under monitoring activities of BIDA."
Rejected,Please discuss with BIDA regarding the activities to be undertaken in Bangladesh with supporting documents. 
Rejected,"MKST Industries Limited                         /                                            \
 ,  MKST Industries Limited                      \
"
Rejected,"The deadline for the application is 20 October 2023. You hired the expatriate before the completion of the recruitment process. Hence, the application has been rejected"
Rejected,"The deadline for the application is 20 October 2023. You hired the expatriate before the completion of the recruitment process. Hence, the application has been rejected"
Rejected,            /                    
