text,label,summary
1. Please explain how will you increase your production capacity and capital machineries in such a large scale 2. Please submit the office rent deed. Please submit LC copy against imported machinery. 1. Fields of raw materials are not filled up. 2. Here attached is only the document of the local purchase of the machinery worth taka 6 50 000 . Other L C copies or other relevant documents regarding machinery are needed. 3. Factory license is required. Please upload raw materials with the unit of quantity as per BIDA registration. a. Upload purchase voucher for locally collected machines and bill of entry for imported machines in section 8. b. Trade License Number mentioned in section 9 is not correct. c. Environment License No mentioned in section 19 is not correct. d. Upload renewed Membership certificate. e. Correct the Bangla spelling mentioned in Half yearly import rights of adhoc based spare parts demand part. Due to system limitations it is not possible to process application. Kindly apply manually to amendment from joint investment to local investment. The company is registered as a joint venture. Application has been submitted for amendment of registration as local industrial project. Due to system limitations may be asked to apply manually. Information has been changed in several times. Provide genuine information and upload documents accordingly. Please contact by phone and then submit the application. 1.Copy of passport of the Expatriate Investor Employee Whole of the used part mark with the latest visa seal arrival and departure seal from Bangladesh 2.Please inform after the cancellation of the previous work permit when the expatriate left from Bangladesh. Please inform why provided misinformation regarding the travel history in the E visa application. Please upload the copy of the passport mark with the E seal from Bangladesh Embassy Beijing China and the arrival stamp under the E visa seal..,Shortfall,
Please upload the encashment certificate for the investor as mentioned in the schedule XII plz submit applicant s Income tax clearance certificate Tax return acknowledgment certificate of the assessment year 2019 20 Please share the recruitment result along with the contact details of the applicants. Also explain why this applicant has been selected or hire a local Accounting Teacher please explain why no locals were interviewed in the recruitment process 1. submit education board approval of school 2. Share the recruitment result with us along with the contact numbers of the applicants. Explain why this candidate has been selected please submit the details of the applications it is not clear why a foreign ECONOMICS teacher is required Please search for a local English language teacher. Local teachers with much better educational backgrounds are available. The proposal for the new work permit has been deferred for not submitting the arrival stamp. please submit 1. last arrival and departure seal. 2. renewal of work permit is required 3. tax clearance certificate of the expatriate under section 91 of ITO 1984 for the year.,Shortfall,
Please submit last arrival seal Please submit applicant s income tax clearance certificate return acknowledgment certificate assessment year 2019 20 The organization shall submit work permits and tax certificates up to 30 06 2021. 1. Required Board resolution regarding amendment of salary 2. Existing salary is not correct as per documents Board resolution should be mentioning release date of Employee we could not find what is the amendment you are proposing . can you please specifically mention what is the the amendment 1. Please upload Board resolution regarding amendment of salary 2. Existing salary is not correct as per documents please submit the arrival seal of the passport shortfall requested by the application please submit tax certificate of assessment year 2020 21.,Shortfall,
1. Please upload the previous work permit cancellation letter issued by BIDA 2. Please upload the copy of the passport of the Expatriate Investor Employee Whole of the used part 3. Please upload the academic and experience certificate as per the job advertisement 1. It seems that the expatriate last arrived in Bangladesh on 4.9.2022. Please mark the latest departure seal on the passport 2. Please ensure the up to date income tax clearance certificate under section 91 of the Income Tax ordinance 1984 up to the last departure date if applicable . 1. work permit cancelled from 16.6.2020 why did the expatriate work in Bangladesh up to February 2021 illegally. Please explain 2. Please explain why the expatriate extended E visa 2 times after the cancellation of the work permit 3. Please upload the proof of the source tax deduction up to February 2021 4. Please upload the graduate certificate and experience certificate as per the job advertisement please submit 1. Organization s Income tax clearance certificate Tax return acknowledgment certificate of the assessment year 2018 19 At least 2. Applicant s Income tax clearance certificate Tax return acknowledgment certificate of the assessment year 2019 20 3. Explain why this employee needs to work beyond 5 years please submit 1. Organization s Income tax clearance certificate Tax return acknowledgment certificate of the assessment year 2018 19 At least 2. Applicant s Income tax clearance certificate Tax return acknowledgment certificate of the assessment year 2019 20 3. Explain why this employee needs to work beyond 5 years please let us know when the salaries of the locals will be increased 1. Please explain why this expatriate needs to stay more than 5 years 2. submit signed copy of security clearance 1. Please explain why this expatriate needs to stay more than 5 years 2. submit signed copy of security clearance Please upload the copy of the Passport with the last arrival and departure seal. please revise the salaries as per the exact text of appointment letter .,Shortfall,
House rent is only taka 25000 which needs to be reasonably enhanced 1.Copy of passport with last E visa page and arrival page should be submitted 2.House rent is only taka 25000 which needs to be reasonably enhanced The uploaded LC and nomination letter do not match. 1.Publish date of the advertisement is not clear to read 2.Why the house rent is only usd 50 3.Why a operator need to appoint from India please explain Please also uplaod the secuirty objection 1. The security clearance was issued with the remark 2. Please submit the income tax returns and certificates calculation of the taxes and related documents and kindly clarify showing with the calculations that you fulfill the above condition properly Please uplaod the valid work permit up to 30 Apr 2023 1. Please upload the proper Service contract agreement with the machinery supplier 2.Please upload the properly attested LC name of Machin supplier does not match with the LC kindly check and resubmit properly. name of the machinery supplier does not match with the uploaded LC.,Shortfall,
please increase salary. It is lower than the BIDA guideline. please increase salary. Mentioned salary is below BIDA guideline . 1. Please submit an experience certificate as per the requirement of the advertisement. please submit waiver of condition 05 Please explain why late Application is made 1. Submit the departure seal 2. submit tax certificate under section 91 please submit tax certificate under section 91 193 up to the last day of stay in Bangladesh Please inform in the listed 26 positions how many local people are recruited please submit full copy of the passport The work permit was renewed after releasing the expatriate by the company management. please submit full copy of passport .,Shortfall,
1. Please uplaod the proper encashment certificate of the equity investment as per the checklist 2. Please resubmit the application after the departure of the foreigner from Bangladesh 3. Please upload the BIDA approved Director list 4. Please upload the latest form XII and Schedule X of the company 5. Office address does not match the BIDA registration. Kindly revise it properly kindly follow the previous shortfall 1. Please provide the scoring sheets interview outcome of the recruitment process with the details of the candidates name phone number email address and application copy . 2. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employees for the position Kindly clarify it. 3. Please mention the brief job description of the expatriate specifically in the application. 4. Kindly refer to the fact that without BIDA permission paying any remuneration financial and non financial facilities at home and abroad is illegal. Please ensure and certify that you mentioned all financial and non financial facilities in the application also certify that beyond the work permit no financial and non financial facilities are provided to the expatriate. 5. Please resubmit the application after the departure of the expatriate from Bangladesh 1. Please provide the scoring sheets interview outcome of the recruitment process with the details of the candidates name phone number email address and application copy . 2. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employees for the position Kindly clarify it. 3. Please mention the brief job description of the expatriate specifically in the application. 4. Kindly refer to the fact that without BIDA permission paying any remuneration financial and non financial facilities at home and abroad is illegal. Please ensure and certify that you mentioned all financial and non financial facilities in the application also certify that beyond the work permit no financial and non financial facilities are provided to the expatriate. 5. Please resubmit the application after the departure of the expatriate from Bangladesh Land value mismatches stated value. B. J. Bed Weaving Ltd is a limited company so provide saf kobla dolil owned by the organization. Please write down the BIDA registration number in English. Annual production capacity is missing. Please write down the name of both the director s name in the list of directors. Write down all of the existing machinery names. Please write down all of the Machinery names. Please write down the existing director s name as per BIDA registration in the left side column and proposed changes in the right side column. Going through your application it is observed that you did not provide the fire license. Please attach your fire license and resubmit it. You just attached your fire application. This not the fire certificate. Pleased attach this. please submit the environment application submit the factory picture signboard industry infrastructure and machineries. and discuss to field visit. .,Shortfall,
Please also uplaod the previous passport whole used part Please upload the copy of the passport whole used part with the E visa seal and arrival stamp A. Kindly upload the passport whole used part with the E visa seal from the Bangladesh embassy in Beijing China and the arrival stamp under the visa recommendation. B.Kindly also increase the salary as per the BIDA guideline page 35 upload the necessary document as per the BIDA guideline page 35 C. Earlier the expatriate worked in the same company WPN 24Apr2022 00010 but you did not provide it in the E visa application. The work permit is not accepatble 1. multiple ID is not acceptable the company already has one ID kindly take necessary action to marge both IDs. Kindly revise the company name correctly Kantar Research Bangladesh Pvt. Ltd. 2. Travel History is not correct. kindly revise correctly 3. Please upload the service contract with the signature of the expatriate 4. Please uplaod all pages of the BIDA registration 5. Please uplaod experience certificate as per the job advertisement. 6. Please mention the brief job description of the expatriate in the application specifically. 7. Please provide the scoring sheet interview outcome of the recruitment process. 8. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employee for the position Kindly clarify it 1.Please upload the copy of the BIDA registration 2.Please upload the service contract with the signature of the expatriate 3.Please upload the academic and experience certificate as per the job advertisement 4.Please mention brief job description of the expatriate in the application 5.Please clear the activities of the company 6.Kindly clear why the expatriate is the best choice for the post Why did not hire any local employee for the post Please write down the director s name according to form 12 and mention the specific name of the machineries in the section List of Machinery . also upload a board resolution copy for proposed changes. Please submit form 12 and mention the name of mercenaries in the section of List of Machinery Please fill up Section B C and D with contact numbers email and other information. Please fill up the Annual production capacity section in English. Please write down the director s name according to form 12 and mention the specific name of the machineries in the section List of Machinery . also upload a board resolution copy for proposed changes. Please submit form 12 and mention the specific name of the machineries in the section of List of Machinery .,Shortfall,
1. please submit updated tax certificate 2. submit updated encashment or contracts in Bangladesh please submit the following information and documents i the reasons for extension of the work permit with the supporting documents ii a replacement plan of the foreign worker with a local worker along with supporting documents iii submit a plan with supporting documentation on how the foreign worker trains and develops local worker as his successor iv submit a duly approved training manual having the evaluation method of the training for local workers. v the experience and qualification of the position for which a foreign worker is appointed vi the process and formalities with supporting documents observed in appointing the expatriate vii the duly approved Service Regulation where provisions of appointing foreign workers are described clearly. please submit NOC of CAAB for recruiting a foreign pilot please submit the NOC of CAAB According to existing registration equity ratio 1 12.33. But amended equity ratio has been shown 1 4.153 in the column 7. Kindly explain and input real information. 1. Travel history is not correct. Kindly revise properly. 2. As per the uploaded passport the expatriate is in Bangladesh passport page 17 . Please resubmit the application after the departure of the expatriate from Bangladesh. 3. Please provide the scoring sheet interview outcome of the recruitment process with the details of the candidates name phone number email address . 4. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employees for the position Kindly clarify it. 5. Kidly upload the salary advice and payroll of the company for all employees 1. Please provide the scoring sheet interview outcome of the recruitment process with the details of the candidates name phone number email address . 2. Kindly clarify why the expatriate is the best choice for the post. Why did you not hire any local employees for the position Kindly clarify it. 3. Please upload the manpower statement as per the checklist You have done a thankful job by submitting a list of 480 employees against which your claim of 15 foreign employees is acceptable. But we need to confirm whether all employees are permanent or not. Please take note that foreign employee ratio is calculated only against permanent and probationer employees. Please submit an explanation and you may revise in case of any discrepancy. 1. Please explain the causes of the amendment of the work permit 2. whether salary also increases for the local employee for the same ratio .kindly clarify. The visa recommendation has been approved on the condition that in future for the work permit the expatriate must receive the E visa from the Bangladeshi mission as mentioned in the E visa application..,Shortfall,
1.Date should be mentioned on the reappointment letter 2.List of local employees trained by the foreign expatriate should be submitted A. Please upload an Up to date income tax clearance certificate for the foreigner under section 193 of the Income Tax Act 2023 up to final departure until the departure date. B. Please discuss over the phone and then resubmit the application 1.Submitted copy of board resolution does not cover the desired period of extension please review 2.Income Tax Certificate 2020 2021 or copy of chalan form pay order for the assessment year 2020 2021 should be submitted as tax payment proof The foreigner staying in Bangladesh for more than 6 months without a valid work permit. Your explanation is not clear to us Please meet with the DG sir with all relevant documents and explain the issue. Please submit a declaration on stamp that the foreigner had not worked anywhere in Bangladesh after the desired effective date of the cancellation and the company will be liable for any responsibilities dues generated due to this. 1.How an official letter can be be issued without issue date on it 1.Too late application is not acceptable Please explain the causes of the late application with the proper document. 2. Please upload the copy of the passport whole used part kindly inform the latest visa status of the expatriate whether the expatriate belongs E visa now kindly clear. Please upload the passport copy each of the pages chronologically marked with the latest E visa seals exit visa seal latest arrival seal and final departure seal under the work permit . The uploaded explanation is not clear. Please discuss over the phone and then resubmit the application 1.Please upload the bank statement of the salary payment in favor of the investor employee for the previous working period as proof that the salary paid to the employee by the Bank according to the FERA act and Income tax ordinance mark with the salary transactions for last years . 2.Too late application is not acceptable Please explain the causes of the late application with the proper document. 3.Please upload the copy of the passport whole used part kindly inform the latest visa status of the expatriate whether expatriate belong E visa now kindly clear. 1. The effective date of the first Work Permit is not correct. Kindly revise properly 2. Please upload the proofs of the source tax deduction from the salary of the investor for the assessment year 2022 2023.,Shortfall,
